model,column,search_type,r2_score,rmse,params,run
RandomForest,1,optuna,0.709108066817816,2.796479408938029,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 123, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",3
RandomForest,1,optuna,0.7090766317295836,2.796630504915846,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 131, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",1
RandomForest,1,optuna,0.7078519996780195,2.802510484149756,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 11, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 126, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",6
RandomForest,1,optuna,0.7073266886490742,2.805028948204025,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 118, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",4
RandomForest,1,optuna,0.7061830901461985,2.8105038229265347,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 19, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 131, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",8
SVR,1,optuna,0.5757380649147139,3.377246973670701,"{'C': 0.22816999522898157, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.7680533603991936, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",8
SVR,1,optuna,0.5725066950233753,3.390083893754076,"{'C': 0.7696636887410591, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.6442635396699306, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",1
SVR,1,optuna,0.5723322443970607,3.3907755325813747,"{'C': 0.42301267510019375, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.9949470944466077, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",4
SVR,1,optuna,0.5714926125174442,3.3941024226728707,"{'C': 0.2711622120861508, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.03765890862969854, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",2
SVR,1,optuna,0.5707765053105736,3.396937293977937,"{'C': 0.13620261400167116, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.14280548903314705, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",7
TabNet,1,optuna,-14.404699991019676,20.350374666443788,"{'n_d': 13, 'n_a': 21, 'n_steps': 3, 'gamma': 1.6331237105902443, 'lambda_sparse': 0.00024015668586936136, 'momentum': 0.29111666410132203}",2
TabNet,1,optuna,-17.914932737241735,22.550085224968804,"{'n_d': 9, 'n_a': 55, 'n_steps': 3, 'gamma': 1.2618653947073781, 'lambda_sparse': 0.0007585221035353373, 'momentum': 0.1465715917487157}",3
TabNet,1,optuna,-22.14156408028477,24.942624071097296,"{'n_d': 42, 'n_a': 51, 'n_steps': 3, 'gamma': 1.0103586040891124, 'lambda_sparse': 0.0003221009326316392, 'momentum': 0.202233914310783}",0
TabNet,1,optuna,-22.284654295946268,25.019618550722782,"{'n_d': 18, 'n_a': 54, 'n_steps': 3, 'gamma': 1.9786818793688765, 'lambda_sparse': 0.000958868724929121, 'momentum': 0.10331629418916857}",4
TabNet,1,optuna,-283.96489483283875,87.52688406544495,"{'n_d': 48, 'n_a': 28, 'n_steps': 6, 'gamma': 1.4688584432538725, 'lambda_sparse': 0.0006003094957828584, 'momentum': 0.14583701359844636}",1
XGBoost,1,optuna,0.7030304536231854,2.825541853805347,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.021756237283061787, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 145, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0
XGBoost,1,grid,0.7020301990416513,2.8302963570214827,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.1, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 50, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0
XGBoost,1,grid,0.7020301990416513,2.8302963570214827,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.1, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 50, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",1
XGBoost,1,grid,0.7020301990416513,2.8302963570214827,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.1, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 50, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",2
XGBoost,1,grid,0.7020301990416513,2.8302963570214827,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.1, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 50, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",3
CatBoost,2,grid,0.7364078235517365,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",0
CatBoost,2,grid,0.7364078235517365,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",1
CatBoost,2,grid,0.7364078235517365,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",2
CatBoost,2,grid,0.7364078235517365,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",3
CatBoost,2,grid,0.7364078235517365,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",4
KNN,2,optuna,0.4727381874252798,3.7649476863671136,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",0
KNN,2,optuna,0.4727381874252798,3.7649476863671136,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",4
KNN,2,optuna,0.4727381874252798,3.7649476863671136,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",9
KNN,2,optuna,0.4572473267102732,3.819854076102088,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",2
KNN,2,optuna,0.4572473267102732,3.819854076102088,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0
LightGBM,2,optuna,0.5457618431690661,3.4945205071477723,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.037292716060558166, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 101, 'n_jobs': None, 'num_leaves': 35, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",3
LightGBM,2,optuna,0.5430958795343048,3.5047603284028863,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.04404887054298607, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 63, 'n_jobs': None, 'num_leaves': 46, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",5
LightGBM,2,optuna,0.5426296198257874,3.5065481343902865,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.015260711143814672, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 199, 'n_jobs': None, 'num_leaves': 32, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",3
LightGBM,2,optuna,0.5404067338537148,3.515058970631669,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.03301119693566004, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 85, 'n_jobs': None, 'num_leaves': 98, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",2
LightGBM,2,optuna,0.5402137948336041,3.515796710848298,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.04592801895334541, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': None, 'num_leaves': 54, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",9
LinearRegression,2,optuna,0.5779012483503813,3.368626189915828,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",0
LinearRegression,2,optuna,0.5779012483503813,3.368626189915828,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",1
LinearRegression,2,optuna,0.5779012483503813,3.368626189915828,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",2
LinearRegression,2,optuna,0.5779012483503813,3.368626189915828,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",3
LinearRegression,2,optuna,0.5779012483503813,3.368626189915828,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",4
MLP,2,optuna,0.4675638734458192,3.783376348884333,"{'units_1': 128, 'units_2': 33, 'dropout': 0.10378295346480994, 'l2_reg': 8.954919097431899e-05}",7
MLP,2,optuna,0.4552256817464089,3.826961559316079,"{'units_1': 114, 'units_2': 30, 'dropout': 0.1257412394237601, 'l2_reg': 0.0002665698694613752}",1
MLP,2,optuna,0.4473933902011411,3.854373746931557,"{'units_1': 123, 'units_2': 46, 'dropout': 0.19260677428009934, 'l2_reg': 0.0003849407862226103}",6
MLP,2,optuna,0.4428633624767405,3.8701397387966536,"{'units_1': 126, 'units_2': 63, 'dropout': 0.18949263458197235, 'l2_reg': 0.004672927622789732}",8
MLP,2,optuna,0.4195698721468639,3.950215241845415,"{'units_1': 73, 'units_2': 64, 'dropout': 0.10521913952429693, 'l2_reg': 0.00011132347831995318}",3
RandomForest,2,optuna,0.7093503620376524,2.7953145180129124,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 126, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",0
